n,coef,se,t_stat,p_val,ci_low,ci_high,skip,category,treatment,treatment_col,outcome
3920,0.0008315480974944806,0.004463004656967577,0.1863202397058403,0.85219363637347,-0.007915780292996508,0.00957887648798547,False,duckduckgo+Llama-3.3-70B,T1_code,T1_statistical_density_code,rank_delta
3920,-0.0004313439500211485,0.004973496831342672,-0.08672850604887197,0.9308873172342977,-0.010179218616676866,0.009316530716634568,False,duckduckgo+Llama-3.3-70B,T1_code,T1_statistical_density_code,post_rank
4031,-0.0036009834707916087,0.09445222946948681,-0.03812491765432516,0.9695880843340827,-0.18872395149049848,0.18152198454891527,False,duckduckgo+Llama-3.3-70B,T2_code,T2_question_heading_code,rank_delta
4031,0.038777620758150395,0.09266480004911347,0.41847196279059345,0.6756020814458927,-0.14284204997271743,0.2203972914890182,False,duckduckgo+Llama-3.3-70B,T2_code,T2_question_heading_code,post_rank
4031,0.21906706512243163,0.099525131153736,2.2011230990898145,0.02772731043786978,0.024001392504483715,0.4141327377403795,False,duckduckgo+Llama-3.3-70B,T3_code,T3_structured_data_code,rank_delta
4031,-0.10130318462194873,0.10111088288584405,-1.001901889595028,0.31639097990849885,-0.29947687352325036,0.09687050427935293,False,duckduckgo+Llama-3.3-70B,T3_code,T3_structured_data_code,post_rank
4031,-0.01412942020780229,0.013094496360344954,-1.0790350250194787,0.2805721142159787,-0.03979416146976922,0.011535321054164643,False,duckduckgo+Llama-3.3-70B,T4_code,T4_citation_authority_code,rank_delta
4031,0.004828073837573637,0.011663880461818125,0.41393375501218516,0.6789226223734296,-0.0180327117875703,0.027688859462717576,False,duckduckgo+Llama-3.3-70B,T4_code,T4_citation_authority_code,post_rank
4030,-0.00588669692471796,0.0050636880159165695,-1.1625315197568344,0.2450196290811103,-0.01581134306486152,0.004037949215425601,False,duckduckgo+Llama-3.3-70B,T1_llm,T1_statistical_density_llm,rank_delta
4030,0.00780348668650421,0.0051370269728452924,1.5190667146102255,0.1287457039955928,-0.0022649011678833814,0.017871874540891803,False,duckduckgo+Llama-3.3-70B,T1_llm,T1_statistical_density_llm,post_rank
4030,0.05943325463601293,0.08776997883735903,0.6771478747436515,0.49831213609049674,-0.11259274280905349,0.23145925208107934,False,duckduckgo+Llama-3.3-70B,T2_llm,T2_question_heading_llm,rank_delta
4030,-0.017644849601429872,0.08631164816338162,-0.20443184641810414,0.8380160457960503,-0.18681257144795055,0.1515228722450908,False,duckduckgo+Llama-3.3-70B,T2_llm,T2_question_heading_llm,post_rank
4030,-0.030150606266834513,0.0856789476164712,-0.35190215456192486,0.7249116433203938,-0.19807825782841199,0.13777704529474294,False,duckduckgo+Llama-3.3-70B,T3_llm,T3_structured_data_llm,rank_delta
